pregunta;categoria;opcion1;opcion2;opcion3;opcion4;opcion5;opcion6;opcion7;opcion8;correctas;explicacion
El resultado del estudio de viabilidad es:;Gestión de Proyectos;La planificacion detallada del proyecto;La estimacion exacta del costo - beneficio del proyecto;Un informe que recomiende si merece o no la pea seguir con la igenieria de requerimientos y el proceso de desarrollo del Sistema;El documento con el analisis detallado de los requerimientos del cliente;;;;;3;"El entregable final de esta etapa es el Informe de Viabilidad. Este documento no define requerimientos de software de forma detallada ni establece cronogramas definitivos, sino que ayuda a la alta gerencia a tomar una decisión estratégica de ""proceder o no"" con el proyecto propuesto"
Las variables que condicionan un proyecto son:;Gestión de Proyectos;Alcance, tiempo, costo (Recursos) y calidad;Ninguna;Alcance, tiempo, programas y calidad;Alcance, tiempo, consto (recursos) y cantidad;;;;;1;El éxito de cualquier sistema está determinado por la gestión equilibrada de estas cuatro variables competitivas. Cualquier cambio en el alcance afectará indefectiblemente el tiempo y el costo estimado, alterando la calidad final del software.
Identifique cuál de las siguientes afirmaciones corresponde a la definición de un proyecto de software exitoso;Gestión de Proyectos;Proyectos en los que el producto cumple con los requisitos esperados;Proyectos concluidos con retraso, por encima del presupuesto y/o con menos de los requisitos esperados.;Son proyectos que se cancelaron o se finalizaron pero el producto nunca se uso;Proyectos que terminaron en tiempo, presupuesto y cumplieron con los requisitos teniendo en cuenta aspectos como la calidad y la satisfaccion del cliente;;;;;4;"El éxito de un proyecto de software se asocia tradicionalmente al cumplimiento balanceado de la ""triple restricción"" (Alcance, Tiempo y Costo), logrando simultáneamente los estándares de calidad definidos y la plena satisfacción de los destinatarios del sistema"
Cual de los siguientes son Objetivos de la fase de Inicio del Proceso Unificado?;Proceso Unificado;Establecer al menos una solucion potencial, identificando una arquitectura candidata;Elaborar el plan detallado para cada iteracion de la fase de construccion;Obtener una comprension detallada de los requisitos especificando la mayoria de los Casos de Uso;Identificar los riesgos criticos y elaborar un plan para mitiarlos;Determinar la Viabilidad del Proyecto;;;;"1;4;5";El hito principal de la fase de Inicio (Inception) es la viabilidad [cite: 6]. Sus objetivos son: comprender el negocio para estimar costos/esfuerzo, proponer una solución potencial e identificar una arquitectura candidata (1), identificar riesgos críticos para mitigarlos (4) y determinar la viabilidad global del proyecto (5) 
Se denomina riesgo del proyecto a todo:;Gestión de Proyectos;Acontecimiento que pueda ocurrir y que si se convierte en realidad provocara un impacto negativo.;Evento futuro que se producira durante el proyecto y que impactara en su resultado;Evento posible del futuro del proyecto;Lo que afecta negativamente en el resultado del proyecto;;;;;1;En administración de proyectos, un riesgo es un suceso futuro e incierto (probabilidad menor al 100%) que, en caso de materializarse, afectará negativamente los objetivos del proyecto. Si un evento negativo va a suceder de forma 100% segura, ya no se trata de un riesgo, sino de una restricción o un problema directo.
Cuales de las siguientes actividades enunciadas son responsabilidad del Product Owner;Metodologías Ágiles;Gestionar el Product Backlog en su totalidad, ordenando y priorizando conforme al valor para el negocio;Asegurarse que el equipo de trabajo funcione correctamente;Crear conciencia sobre las practicas de Scrum entre los miembros del equipo Scrum;Gestionar el progreso del trabajo durante el Sprint;Estar accesible, y disponible, para explicar al equipo tecnico dudas funcionales, para validar entregas y participar en reuniones;Asegurarse que las Reuniones Diarias (Daily) se lleven a cabo de manera oportuna y estructurada;;;"1;5";En Scrum, el Product Owner (PO) representa la voz del cliente y del negocio. Es el único responsable de maximizar el valor del producto gestionando, ordenando y priorizando el Product Backlog (1). Asimismo, debe estar disponible para resolver dudas funcionales del equipo de desarrollo y validar los incrementos terminados (5)
La Especificación de Requisitos es Correcta:;Ingeniería de Requisitos;Si y solo si todo requisito formulado en ella debe ser satisfecho por el software;Si no existe conflictos de comportamiento, terminos o caracteristicas.;Si y solo si incluye todo lo que se supone el software debe hacer;Si tiene una organizacion coherente y es facil de usar;;;;;1;"Esta es la definición literal utilizada en la diapositiva ""La Especificación de Requisitos es Correcta"" (dentro de DocRequisitosI.pdf). Representa la ausencia de ""ruido"" o requisitos incorrectos en la ERS."
Los aspectos que se deben analizar en el estudio de Factibilidad son:;Gestión de Proyectos;Tecnica, Optativa, Economica, Financiera, De programa (temporal) y Legal;Tecnica, Operativa, Ergonomica, Financiera y Tecnologia;Tecnica, alcance, tiempo, recursos y calidad;Tecnica, Operativa, Economica, Financiera, De Programa (temporal) y Legal.;;;;;4;Esta opción refleja con exactitud la clasificación formal de las seis dimensiones de la viabilidad propuestas por Roger Pressman en el material de clases de la cátedra.
Cuáles de las siguientes afirmaciones son correctas sobre el ciclo de vida en el Proceso Unificado?;Proceso Unificado;Es la primer propuesta metodologica agil;Es un marco generico que puede especializarse de acuerdo al proyecto particular;Es la mejor propuesta metodologica para cualquier tipo de proyeto;Propone iteraciones controladas, lo que reduce el costo del riesgo a un solo incremento;Es un estandar para el desarrollo de software de calidad;La vida de un sistema se repite a lo largo de una serie de ciclos donde cada ciclo concluye con una version del producto;;;"2;4;5;6";"Explicación: El Proceso Unificado no es un proceso rígido, sino un marco genérico adaptable a cada proyecto (2) [cite: 4, 5]. Su naturaleza iterativa e incremental permite que el costo del riesgo se limite a un solo incremento de software (4) [cite: 6]. Está adoptado por la industria como un estándar de alta calidad (OMG) (5) [cite: 9] y se organiza en ciclos de desarrollo que concluyen con la entrega de un producto funcional (6) [cite: 6].
¿Por qué no las otras? El PU no es ágil por defecto (es una metodología disciplinada y dirigida por arquitectura) (1) [cite: 6], y no existe una metodología ""universalmente mejor"" para cualquier proyecto (3) [cite: 5, 214]."
Proceso Unificado. Relacione las siguiente afirmaciones con sus correspondientes conceptos. Un mismo concepto se puede aplicar a varias afirmaciones. Utilice Ninguno es Válido cuando no encuentre el concepto correspondiente.;Proceso Unificado;"Flujo cuyas actividades son: Encontrar actores y casos de uso, Priorizar casos de uso,
Detallar un caso de uso, Prototipar la interfaz de usuario, Estructurar el modelo de casos de
uso";"Fase que tiene por objetivo diseñar, implementar y probar una arquitectura correcta, y
completar el plan del proyecto";Intervalo de tiempo entre dos hitos;Es la instancia de un proyecto;Fase en la que el criterio esencial es que el sistema alcance una operatividad final;;;;"""Captura de Requisitos;Elaboracion;Fase;Ninguno es válido;Transición""";"Explicación:
""Flujo cuyas actividades son: Encontrar actores..."": Corresponde a Captura de Requisitos (actividades clave de relevamiento y delimitación) [cite: 10].
""Fase que tiene por objetivo diseñar, implementar y probar una arquitectura correcta..."": Es la fase de Elaboración, cuyo hito clave es la mitigación de riesgos mediante la creación de la línea base de la arquitectura ejecutable [cite: 17].
""Intervalo de tiempo entre dos hitos"": Es la definición exacta de una Fase en el ciclo de vida del PU [cite: 17, 23].
""Es la instancia de un proyecto"": Ninguno es válido. De acuerdo con el mapa conceptual de las ""4 P"", la relación correcta es que el Proyecto es una instancia de la clase Proceso (el proceso actúa como la plantilla de diseño y el proyecto es su ejecución física) [cite: 19, 24].
""Fase en la que el criterio esencial es que el sistema alcance una operatividad final"": Es la fase de Transición, donde el producto se despliega, capacitando a los usuarios y migrando los datos para operar de forma estable [cite: 17]."
Cuando se tiene un conjunto de requisitos que no es perfecto pero que es lo suficientemente bueno para permitir que el equipo continúe con la construcción con un nivel aceptable de riesgo dentro de las limitaciones conocidas del proyecto se debe:;Ingeniería de Requisitos;Hacer el analisis y la negociacion de requisitos;Establecer la linea base de los requisitos;Hacer el documento de vision y alcance;Hacer el estudio de viabilidad del proyecto;;;;;2;"La diapositiva oficial ""Trabajar con línea base"" en priorizarReq_I.pdf declara textualmente: ""Recuerde que el desarrollo de requisitos intenta definir un conjunto de requisitos que no es perfecto pero que es lo suficientemente bueno para permitir que el equipo continúe con la construcción con un nivel aceptable de riesgo"". El análisis y la negociación son las actividades previas que nos permiten llegar a ese estado, pero la acción que se ejecuta al alcanzar este hito es, por definición, establecer la línea base (baseline). Si tu examen tiene parametrizada la opción 1, se trata de un error clásico de diseño del cuestionario."
El aspecto del estudio de Factibilidad que se encarga de analizar si los beneficios del sistema compensaran los costos es:;Gestión de Proyectos;Factibilidad economica;Factibilidad de Financiera;Factibilidad tecnica;Factibilidad operativa;;;;;1;La factibilidad económica se define esencialmente como un análisis de costo-beneficio. Su propósito es estimar y contrastar de manera analítica los costos tangibles e intangibles del proyecto frente a los beneficios que este reportará, determinando si la inversión inicial se recuperará en un tiempo razonable
El aspecto del estudio de Factibilidad que trata de determinar que el sistema servirá a la organización, funcionara y será utilizado una vez implementado es la factibilidad:;Gestión de Proyectos;Tecnica;Operativa;Economica;Financiera;;;;;2;La factibilidad operativa mide si la solución satisface realmente los requerimientos identificados y, sobre todo, evalúa el factor humano. Se plantea si los usuarios finales y administradores querrán o podrán adaptarse al cambio o si se resistirán a utilizar el nuevo sistema
Identifique, entre los siguientes, cuales son los tipos de mantenimiento de software vistos en la materia;Mantenimiento de Software;Mantenimiento Correctivo;Mantenimiento Negativo;Mantenimiento Preceptivo;Mantenimiento Adictivo;Mantenimiento Perfectivo;Mantenimiento Preventivo;Mantenimiento Positivo;Mantenimiento Adaptativo;"1;5;6;8";"La ingeniería de software establece cuatro tipos fundamentales de mantenimiento [cite: 208]:
Correctivo: Reparar fallos y errores detectados por los usuarios [cite: 208].
Adaptativo: Modificar el sistema para que opere en nuevos entornos tecnológicos o regulatorios [cite: 208].
Perfectivo: Añadir nuevas funcionalidades o mejorar el rendimiento a petición del usuario [cite: 208].
Preventivo: Reestructurar o limpiar el código para evitar futuros fallos (mantenibilidad) [cite: 208]."
Cuando ya se tiene establecida la línea base de requisitos y surgen cambios en los mismos, lo que es muy habitual en la mayoría de los proyectos. ¿Qué se debería hacer?;Ingeniería de Requisitos;No aceptarlo y apoyarse en los contratos;Aceptarlo y motivar al equipo pra cumplirlo sin alterar las condiciones del contrato;Someter el pedido a un proceso de control de cambios;Negarse debido a que no resulta conveniente modificar la linea base;;;;;3;La línea base (baseline) es un acuerdo formal y aprobado de alcance. Cuando se producen solicitudes de modificación inevitables, se debe aplicar un proceso formal de control de cambios (evaluando impacto en tiempos, costos y calidad) en lugar de rechazarlos ciegamente o aceptarlos sin control (scope creep).
Cuál de los siguientes NO es un objetivo de procesos que puede tener un proyecto de sistema;Gestión de Proyectos;Mejora del servicio al cliente;Aceleracion de un proceso;Optimizacion de un proceso al eliminar pasos innecesarios o duplicados;Reduccion de almacenamiento redundante;;;;;1;La Mejora del servicio al cliente es considerada por los autores como un Objetivo Corporativo (o de negocio general). Por el contrario, los Objetivos de los Procesos abarcan la optimización directa sobre el flujo de actividades, tales como: la aceleración del proceso, la eliminación de pasos innecesarios/duplicados o la reducción de almacenamiento redundante
Ciencia e Ingeniería se han desarrollado en forma paralela y complementaria. Identifique cuál o cuáles las siguientes afirmaciones son correctas:;Conceptos Generales;El objetivo de la ciencia es resolver problemas por la aplicacion de teorias;La finalidad de la ingenieria es la busqueda de conocimiento, a fin de entender de una forma logica y racional el entorno;El ingeniero busca conocer. Aplicar sus conocimientos para incrementar ese mismo conocimiento;"La ingenieria se basa en el ""hacer"", aplicar el conocimiento para resolver problemas del mundo real";"La ciencia se basa en ""saber"", implica la busqueda del conocimiento para explicar los hechos que ocurren en nuestro mundo";La ingenieria es la aplicacion de diferentes conocimientos para de ese modo poder satisfacer distintas necesidades del ser humano, es la aplicacion del conocimiento;;;"4;5;6";"La opción 4 describe a la ingeniería (""hacer"", resolver problemas), la 5 a la ciencia (""saber"", explicar hechos) y la 6 amplía la definición de ingeniería (aplicar conocimiento para satisfacer necesidades). Las otras opciones intercambian los conceptos o dan definiciones incorrectas."
Sobre el Scrum Team, cuál es la afirmación falsa;Metodologías Ágiles;Cada miembro del equipo tiene que tener un rol especifico y no puede asumir tareas que no eten dentro de su area de especializacion;Los miembros del equipo deben tener un perfil en T (manejo en una serie amplia de areas, con conocimientos en profundidad en unas pocas);Cada miembro del equipo puede asumir cualquier tipo de tarea;Cada miembro del equipo puede tener un conocimiento mas amplio sobre un area especifica;;;;;1;"La respuesta correcta (la afirmación falsa) es Cada miembro del equipo tiene que tener un rol especifico y no puede asumir tareas que no eten dentro de su area de especializacion. De acuerdo con las fuentes, en Scrum el equipo de desarrollo (Development Team) se caracteriza por ser multifuncional e interfuncional. La teoría establece explícitamente que dentro del equipo ""no existen especialistas exclusivos, sino más bien individuos generalistas con capacidades especiales"". Además, todos son considerados simplemente ""miembros del equipo"" sin subtítulos ni jerarquías internas. La idea fundamental es que el equipo no dependa de una sola persona; si alguien con una capacidad especial (por ejemplo, el administrador de la base de datos) está ausente, las tareas aún deben poder llevarse a cabo porque ""entre todos debemos poder colaborar"". Por lo tanto, afirmar que un miembro está encasillado en un rol específico y tiene prohibido asumir tareas fuera de su especialidad contradice los principios de auto-organización y trabajo colaborativo (perfil en ""T"") que exige el marco de trabajo Scrum."
Cual de las siguientes afirmaciones son válidas para definir a las metodologías Orientadas a Objetos:;Orientación a Objetos;Las Propiedades del Objeto se representa en sus metodos;Los Objetos se analizan desde lo general a lo particular;Se ven a los sistemas como un conjunto de objetos que colaboran entre si;Los objetos se analizan desde lo particular a lo general;Cualquiera de las clases se puede instanciar;;;;"3;4";"La respuesta correcta (la afirmación falsa) es Cada miembro del equipo tiene que tener un rol especifico y no puede asumir tareas que no eten dentro de su area de especializacion. De acuerdo con las fuentes, en Scrum el equipo de desarrollo (Development Team) se caracteriza por ser multifuncional e interfuncional. La teoría establece explícitamente que dentro del equipo ""no existen especialistas exclusivos, sino más bien individuos generalistas con capacidades especiales"". Además, todos son considerados simplemente ""miembros del equipo"" sin subtítulos ni jerarquías internas. La idea fundamental es que el equipo no dependa de una sola persona; si alguien con una capacidad especial (por ejemplo, el administrador de la base de datos) está ausente, las tareas aún deben poder llevarse a cabo porque ""entre todos debemos poder colaborar"". Por lo tanto, afirmar que un miembro está encasillado en un rol específico y tiene prohibido asumir tareas fuera de su especialidad contradice los principios de auto-organización y trabajo colaborativo (perfil en ""T"") que exige el marco de trabajo Scrum."
