Pregunta,Categoria,Opcion1,Opcion2,Opcion3,Opcion4,Opcion5,Opcion6,Correctas,Explicacion
¿Cuál es la definición técnica de un sistema de información según el enfoque organizacional?,Modelado de Sistemas,Un conjunto de computadoras conectadas a una red de alta velocidad.,"Componentes interrelacionados que recolectan, procesan, almacenan y distribuyen información para la toma de decisiones.",Una colección de datos organizados para servir a una sola aplicación de manera eficiente.,La infraestructura física necesaria para operar el hardware corporativo.,Un sistema sociotécnico que solo considera las máquinas y la tecnología física dura.,La suma de todos los programas de software instalados localmente en las computadoras.,opcion2,"Desde una perspectiva técnica, se define como un conjunto de componentes interrelacionados que recolectan (o recuperan), procesan, almacenan y distribuyen información para apoyar los procesos de toma de decisiones y de control."
"En el contexto de la empresa digital, ¿qué significa el término 'desplazamiento en tiempo'?",Modelado de Sistemas,Trabajar en un taller global fuera de los límites nacionales.,"Realizar negocios de manera continua las 24 horas del día, los 7 días de la semana.",Mover los activos financieros de forma digital entre sucursales.,Organizar las tareas en silos de producción secuencial.,Externalizar el trabajo a países con bajos sueldos.,Automatizar los procesos de negocios manuales antiguos.,opcion2,"El desplazamiento en tiempo se refiere a los negocios que se realizan de forma continua, 24/7, en lugar de horarios comerciales estrechos."
Un Sistema de Procesamiento de Transacciones (TPS) sirve principalmente a:,Sistemas de Información,La gerencia de nivel superior para decisiones estratégicas.,La gerencia de nivel medio para el monitoreo y control.,Los gerentes operacionales para llevar el registro de actividades elementales.,Científicos y trabajadores del conocimiento para crear conocimiento.,Directores de información (CIO) para la gobernanza de TI.,Clientes externos para realizar compras por Internet.,opcion3,"Los TPS son sistemas que llevan el registro de las actividades y transacciones elementales de la organización, sirviendo a los gerentes operacionales."
¿Cuál es la característica principal de una Arquitectura Orientada al Servicio (SOA)?,Modelado de Sistemas,Uso exclusivo de lenguajes de programación propietarios.,Un conjunto de servicios autocontenidos que se comunican para crear una aplicación funcional.,La eliminación total de los sistemas heredados en una empresa.,La conexión física de cables de fibra óptica en una red LAN.,La centralización de todos los datos en un solo disco duro físico.,El uso de redes sociales para la publicidad de productos.,opcion2,La SOA es un conjunto de servicios autocontenidos que se comunican entre sí para crear una aplicación de software funcional.
"En el modelo de fuerzas competitivas de Porter, ¿qué factor aumenta el poder de los clientes?",Sistemas de Información y Estrategia,La existencia de barreras de entrada muy altas.,La capacidad de cambiar fácilmente a los productos de un competidor.,La falta de información sobre precios en el mercado.,La dependencia de un solo proveedor exclusivo.,El uso de sistemas de respuesta eficiente al cliente.,La implementación de una estructura organizacional de tipo adhocracia.,opcion2,El poder de los clientes aumenta si pueden cambiar con facilidad a los productos y servicios de un competidor.
¿Qué son los activos complementarios en el contexto de la inversión en TI?,Modelado de Sistemas,Dispositivos de hardware adicionales como impresoras y escáneres.,Activos requeridos para derivar valor a partir de una inversión primaria.,Copias de seguridad de las bases de datos corporativas.,Programas de software descargados de la nube de forma gratuita.,Cables de fibra óptica que complementan al cable trenzado.,Los salarios de los programadores y analistas de sistemas.,opcion2,"Los activos complementarios son aquellos requeridos para derivar valor a partir de una inversión primaria (como nuevos modelos de negocios, cultura organizacional o capacitación)."
Un sistema de administración de relaciones con el cliente (CRM) se utiliza principalmente para:,Sistemas de Información,Gestionar el flujo de materiales entre la fábrica y el almacén.,"Coordinar los procesos de negocios en ventas, marketing y servicio para optimizar ingresos.",Analizar la estructura de las redes de área metropolitana (MAN).,Reducir la latencia de las señales de radiofrecuencia en Wi-Fi.,Realizar el mantenimiento preventivo del hardware del servidor.,Controlar el acceso de los empleados a sitios Web prohibidos.,opcion2,Los sistemas CRM proveen información para coordinar todos los procesos de negocios que tratan con los clientes para optimizar ingresos y satisfacción.
"¿Qué principio ético sugiere que si una acción no es correcta para que todos la tomen, no es correcta para nadie?",Ética,Regla dorada,Imperativo categórico de Kant,Regla del cambio de Descartes,Principio utilitarista,Principio de aversión al riesgo,Regla de 'no hay comida gratis',opcion2,"El Imperativo categórico de Emmanuel Kant establece: 'Si una acción no es correcta para que todos la tomen, no es correcta para nadie'."
¿Qué derecho protege a los autores de propiedad intelectual contra la copia durante 70 años después de su muerte?,Ética / Propiedad Intelectual,Patente,Derechos de autor (Copyright),Secreto comercial,Privacidad de la información,Responsabilidad legal,Debido proceso,opcion2,Los derechos de autor (copyright) protegen a los creadores contra la copia por parte de otros durante la vida del autor y 70 años más.
Un sistema de administración del conocimiento (KMS) ayuda a las empresas a:,Sistemas de Información,Pagar la nómina de los empleados de forma automática.,Capturar y aplicar la experiencia y el conocimiento organizacional.,Medir el consumo de energía en los centros de datos.,Cifrar el tráfico de red mediante protocolos SSL.,Configurar las redes privadas virtuales (VPN).,Traducir direcciones IP a nombres de dominio.,opcion2,Los KMS permiten a las organizaciones administrar mejor los procesos para capturar y aplicar el conocimiento y la experiencia.
¿Qué es la escalabilidad en los sistemas de información?,Modelado de Sistemas,La capacidad de un sistema para contraerse y reducir costos fijos.,La habilidad de un sistema para expandirse y dar servicio a más usuarios sin fallar.,El proceso de mover datos de una mainframe a una PC.,La jerarquía de autoridad dentro de una burocracia.,El aumento de la velocidad de los microprocesadores según Moore.,La facilidad de uso de una interfaz gráfica de usuario.,opcion2,"La escalabilidad se refiere a la habilidad de una computadora, producto o sistema de expandirse para dar servicio a un mayor número de usuarios sin fallar."
¿Qué nivel de la gerencia toma decisiones estratégicas de largo alcance?,Sistemas de Información,Gerencia operacional,Gerencia de nivel medio,Gerencia de nivel superior,Trabajadores del conocimiento,Analistas de sistemas,Directores de seguridad (CSO),opcion3,La gerencia de nivel superior toma decisiones estratégicas de largo alcance sobre productos y servicios.
¿Cuál es el hito principal y objetivo de la fase de Inicio en el Proceso Unificado?,Proceso Unificado (PU),Diseñar la arquitectura ejecutable,Determinar la viabilidad del proyecto,Realizar el desarrollo masivo de código,Identificar riesgos críticos,Establecer al menos una solución potencial,Migración de datos de versiones beta,2;4;5,El hito principal de Inicio es la viabilidad. Sus objetivos incluyen proponer una solución potencial e identificar riesgos críticos para mitigarlos antes de invertir recursos.,4
¿Cuál es el objetivo de la fase de Elaboración en el Proceso Unificado?,Proceso Unificado (PU),Realizar el despliegue del sistema,"Diseñar, implementar y probar una arquitectura base ejecutable",Completar el plan del proyecto y mitigar riesgos técnicos,Capacitar a los usuarios finales,Identificar los actores del negocio,Establecer la visión del producto,2;3,La fase de Elaboración busca diseñar e implementar una arquitectura correcta para mitigar riesgos técnicos y completar el plan del proyecto.,4
"En el Proceso Unificado, ¿qué actividades pertenecen a la disciplina de Análisis?",Proceso Unificado (PU),Encontrar Actores y Casos de Uso,Analizar un Paquete,Analizar una Clase,Analizar un caso de uso,Prototipar la interfaz de usuario,Estructurar el modelo de casos de uso,2;3;4,"El Análisis refina casos de uso, clases y paquetes desde una perspectiva interna. Encontrar actores y estructurar el modelo de CU pertenecen a la disciplina de Requisitos.",4
¿Cuáles son las cuatro fases secuenciales del ciclo de vida del Proceso Unificado?,Proceso Unificado (PU),"Investigación, Desarrollo, Prueba, Implementación","Requisitos, Análisis, Diseño, Implementación","Inicio, Elaboración, Construcción, Transición","Incepción, Elaboración, Construcción, Transición","Definición, Diseño, Construcción, Cierre","Concepto, Plan, Ejecución, Entrega",3;4,"El ciclo de vida se estructura en Inicio (Inception), Elaboración, Construcción y Transición. Las opciones como Requisitos o Análisis son disciplinas, no fases.",4
¿Qué rol es responsable de los Paquetes de Análisis y la Descripción de la Arquitectura en RUP?,Proceso Unificado (PU),Analista de Sistemas,Diseñador,Arquitecto,Product Owner,Ingeniero de Software,Líder de Proyecto,3,"En RUP, el Arquitecto es el responsable de la integridad del modelo de análisis, los paquetes de análisis y la descripción de la arquitectura.",4
¿Qué actividades se realizan específicamente en la fase de Transición del PU?,Proceso Unificado (PU),Conversión de datos,Entrenamiento de usuarios,Diseño de la arquitectura,Corrección de defectos de la versión beta,Identificación de actores,Ayuda en línea,1;2;4;6,"La Transición se enfoca en el despliegue, incluyendo capacitación, corrección de bugs de beta, migración de datos y soporte.",4
¿Cuál es el propósito principal de un modelo de dominio en el Proceso Unificado (PU)?,Proceso Unificado (PU),Definir el esquema de la base de datos relacional,Ilustrar conceptos dignos de mención en un dominio y actuar como fuente de inspiración para objetos de software,Modelar la lógica de negocio mediante diagramas de secuencia detallados,Especificar los requerimientos funcionales a través de casos de uso,Diseñar la interfaz de usuario y la navegación del sistema,Establecer la arquitectura física de los servidores,opcion2,"El modelo de dominio ilustra conceptos significativos en un dominio y sirve como entrada para el diseño de objetos de software, reduciendo la brecha representacional.",5
¿Qué elementos deben evitarse explícitamente en un modelo de dominio según las guías del PU?,Proceso Unificado (PU),Clases conceptuales y asociaciones,Atributos de datos simples,"Artefactos de software como bases de datos, métodos o responsabilidades",Vocabulario del dominio,Multiplicidades en las asociaciones,Descripciones de productos,opcion3,"Un modelo de dominio representa conceptos del mundo real, no objetos de software; por lo tanto, no debe incluir métodos, responsabilidades o artefactos técnicos.",5
¿En qué fase del Proceso Unificado se inicia y completa mayoritariamente el Modelo de Dominio?,Proceso Unificado (PU),Fase de Inicio (Inception),Fase de Elaboración (Elaboration),Fase de Construcción (Construction),Fase de Transición (Transition),Mantenimiento preventivo,Durante el cierre del proyecto,opcion2,"El modelo de dominio se inicia y completa usualmente en la fase de elaboración, que es cuando existe la mayor necesidad de entender conceptos para mapearlos a clases de software.",5
¿Cuál es la diferencia entre un Modelo de Dominio y un Modelo de Objetos de Negocio (BOM) en el contexto de UP?,Proceso Unificado (PU),No hay diferencia; son sinónimos exactos,El BOM es un subconjunto del Modelo de Dominio,El Modelo de Dominio es una especialización o subconjunto del BOM que se enfoca en cosas y productos importantes,El BOM se usa solo para bases de datos,El Modelo de Dominio incluye métodos y el BOM no,El BOM es para metodologías ágiles y el Modelo de Dominio para cascada,opcion3,"El BOM es un modelo empresarial amplio, mientras que el Modelo de Dominio es una versión enfocada en un dominio específico del sistema en desarrollo.",5
¿Qué significa que un modelo de dominio sea un 'Diccionario Visual'?,Proceso Unificado (PU),Que debe contener capturas de pantalla de la interfaz,Que visualiza y relaciona palabras o conceptos del dominio facilitando el entendimiento cerebral,Que es un glosario con imágenes de los desarrolladores,Que reemplaza totalmente a la documentación escrita,Que solo puede ser editado por expertos en diseño gráfico,Que enumera las variables del código fuente,opcion2,Se considera un diccionario visual porque utiliza la notación UML para relacionar abstracciones y vocabulario del dominio de forma más comprensible que el texto plano.,5
¿Cuál es la recomendación principal respecto al esfuerzo de modelado para evitar la 'parálisis por análisis'?,Proceso Unificado (PU),Modelar exhaustivamente cada detalle antes de programar,Limitar el modelado de dominio a no más de unas pocas horas por iteración,No realizar ningún tipo de modelado,Contratar a un equipo externo solo para el modelado,Usar solo herramientas CASE complejas,Modelar durante toda la fase de construcción,opcion2,El enfoque ágil y del PU sugiere evitar el modelado excesivo de tipo 'cascada' y limitar el tiempo invertido para mantener el retorno de inversión.,5
¿Cuál fue el aporte específico de Jacobson en el origen del Proceso Unificado?,Proceso Unificado (PU),Método fuerte para la producción de modelos de Objetos de Dominio.,Método fuerte para la producción orientada al Usuario.,Método fuerte para la producción detallada de modelos de diseño orientados a objetos.,Creación del estándar UML.,Desarrollo de la metodología en cascada.,Gestión de riesgos tecnológicos.,opcion2,Jacobson aportó el enfoque orientado al usuario (casos de uso) al desarrollo del PU.,"6, 7"
¿Cuál es el objetivo primordial del flujo de trabajo de análisis según el Proceso Unificado?,Proceso Unificado (PU),Definir exactamente cómo se implementará la solución técnica.,Comprender los requisitos sin precisar la implementación de la solución.,Crear el código fuente basado en los casos de uso.,Diseñar la base de datos física y los esquemas de red.,Establecer el contrato legal con el cliente final.,Realizar las pruebas unitarias de los componentes críticos.,opcion2,El objetivo del análisis es comprender perfectamente los requisitos del software sin precisar cómo se implementará la solución.,8
"Dentro del contexto de Scrum, ¿qué es un Sprint?",Metodologías Ágiles,Una reunión de planificación anual.,Un periodo de tiempo fijo (iteración) para crear un incremento de software.,Un documento con todos los requisitos finales del proyecto.,La fase de mantenimiento del ciclo de vida tradicional.,Un rol específico dentro del equipo de desarrollo.,Una técnica de recolección de datos masiva.,opcion2,"En Scrum, el Sprint es la unidad básica de desarrollo, un ciclo de tiempo predefinido donde se completa un trabajo específico.",1
¿Cuál es un principio fundamental de Extreme Programming (XP)?,Metodologías Ágiles,Programación en parejas y retroalimentación continua.,Desarrollo de requisitos por 6 meses antes de programar.,Evitar el contacto con el cliente final.,Uso exclusivo de computadoras mainframe.,Documentación exhaustiva de 1000 páginas.,Procesamiento de archivos tradicional.,opcion1,"XP promueve la simplicidad, la comunicación y la retroalimentación a través de prácticas como la programación en parejas.",1
¿Cuál de las siguientes etapas NO forma parte del proceso de desarrollo ágil según el Modelado Ágil (XP)?,Metodologías Ágiles,Exploración,Planeación,Análisis de Requisitos Detallado,Iteraciones para la liberación de la primera versión,Puesta en producción,Mantenimiento,opcion3,"El proceso ágil se caracteriza por ser interactivo e incremental, compuesto por cinco etapas: exploración, planeación, iteraciones para la liberación, puesta en producción y mantenimiento. No incluye una fase de análisis de requisitos estática y detallada al inicio.",3
"En el modelado ágil, el valor de la 'Valentía' se manifiesta principalmente en:",Metodologías Ágiles,Trabajar más de 80 horas a la semana si el proyecto lo requiere.,No documentar absolutamente nada del sistema.,No tener miedo de descartar código y empezar de nuevo si algo no está bien.,Imponer el criterio del analista sobre el del cliente.,Evitar la retroalimentación del cliente para no retrasar el código.,Mantener el mismo diseño inicial a pesar de los cambios del entorno.,opcion3,La valentía implica confiar en el equipo y en uno mismo para desechar trabajo que no funciona y rehacerlo basándose en la retroalimentación y los resultados de las pruebas.,3
¿Cuál es el valor principal que promueve el Manifiesto Ágil respecto a la respuesta al cambio?,Metodologías Ágiles,Seguir un plan sobre responder al cambio,Responder al cambio sobre seguir un plan,Evitar el cambio mediante contratos rígidos,Ignorar el cambio hasta el final del proyecto,Documentar el cambio antes de procesarlo,Consultar con el arquitecto jefe antes de cualquier cambio,opcion2,El Manifiesto Ágil valora explícitamente la capacidad de respuesta ante el cambio por encima del seguimiento estricto de un plan preestablecido.,2
"En Scrum, ¿cómo se coordinan los equipos auto-organizados diariamente?",Metodologías Ágiles,Mediante un informe escrito al gerente,A través de una reunión diaria de pie (stand-up meeting),Por medio de un correo electrónico masivo,Delegando todas las decisiones al Product Owner,Mediante una revisión de código semanal,Utilizando diagramas de Gantt detallados,opcion2,Scrum utiliza la reunión diaria ('daily Scrum') para que los miembros del equipo coordinen su trabajo y respondan preguntas clave sobre su progreso.,2
"Según la filosofía de 'Modelado Ágil' (Agile Modeling), ¿cuál es el propósito principal de crear un diagrama UML?",Metodologías Ágiles,Generar documentación legal,Proporcionar una base para la auditoría,"Comprender y comunicar el diseño, no documentarlo",Reemplazar la necesidad de escribir código,Justificar el tiempo de los analistas,Cumplir con los estándares ISO,opcion3,"El modelado ágil sostiene que el propósito de modelar es principalmente entender y comunicar ideas rápidamente, tratando los modelos a menudo como desechables.",2
"En el Desarrollo Guiado por Pruebas (TDD), ¿cuándo se escribe el código de la prueba unitaria?",Metodologías Ágiles,Después de finalizar toda la aplicación,Justo antes de la entrega al cliente,Antes de escribir el código de producción,Solo si se detecta un error en producción,Cuando el analista lo solicite,Durante la fase de Incepción exclusivamente,opcion3,"En TDD, el desarrollador escribe primero una prueba para una funcionalidad que aún no existe, y luego escribe el código para que la prueba pase.",2
¿Qué es la 'Refactorización' en el contexto de metodologías ágiles?,Metodologías Ágiles,Cambiar el comportamiento externo del software,Añadir nuevas funcionalidades a una clase,Restructurar el código existente sin cambiar su comportamiento externo,Reescribir el software en un lenguaje de programación diferente,Eliminar todas las pruebas unitarias,Cambiar la base de datos de relacional a objetos,opcion3,"Refactorizar consiste en mejorar la estructura interna del código (claridad, redundancia) manteniendo intacta la funcionalidad visible.",2
¿Cuáles son los principios y prácticas fundamentales de la programación extrema (XP)?,Metodologías Ágiles,Cliente en el sitio,Programación en parejas,Diseño simple,Estándar de codificación,Roles específicos e inamovibles,Retrospectiva de Sprint,1;2;3;4,"XP se basa en prácticas como cliente en sitio, programación de a pares, diseño simple y estándares de código. La retrospectiva es de Scrum.",4
¿Cuáles son las actividades técnicas diarias del equipo en XP?,Metodologías Ágiles,Codificar,Probar,Negociar contratos,Escuchar,Diseñar,Documentar exhaustivamente,1;2;4;5,"Las cuatro actividades técnicas obligatorias en XP son: Codificar, Probar, Escuchar y Diseñar. El Manifiesto Ágil valora software funcionando sobre documentación.",4
¿Qué caracteriza al equipo de desarrollo (Development Team) en Scrum?,Metodologías Ágiles,Es multifuncional e interfuncional,Cada miembro tiene un rol específico e inamovible,No existen especialistas exclusivos,Son individuos con perfil en T,Se auto-organizan para cumplir el objetivo,El Scrum Master les asigna las tareas diarias,1;3;4;5,"Scrum promueve equipos multifuncionales sin jerarquías internas o roles exclusivos, fomentando el perfil en T (conocimiento amplio y alguna especialidad).",4
